organiserID,name,noOfEventsOrganised,mobileNumber,email,organisationName
1,Prof. Joshi,9,8003768152,joshi@coep.ac.in,Robotics Club
2,Ms. Raina,3,9136848061,raina@coep.ac.in,E-Cell
3,Dr. Patil,9,7823559087,patil@coep.ac.in,Music Society
4,Ms. Raina,7,9965262037,raina@coep.ac.in,Cultural Committee
5,Mr. Iyer,10,9180573259,iyer@coep.ac.in,Cultural Committee
6,Ms. Raina,4,9006660101,raina@coep.ac.in,QF Club
7,Prof. Gupta,2,8414440139,gupta@coep.ac.in,Music Society
8,Mr. Kulkarni,4,8817470075,kulkarni@coep.ac.in,Music Society
9,Mr. Kulkarni,2,7994107156,kulkarni@coep.ac.in,Robotics Club
10,Mr. Kulkarni,3,7422982555,kulkarni@coep.ac.in,Robotics Club
11,Mr. Kulkarni,9,9346710303,kulkarni@coep.ac.in,E-Cell
12,Dr. Patil,2,7423906099,patil@coep.ac.in,Robotics Club
13,Mr. Kulkarni,5,9808865073,kulkarni@coep.ac.in,Music Society
14,Ms. Deshmukh,1,8768310778,deshmukh@coep.ac.in,Music Society
15,Prof. Gupta,7,9214350385,gupta@coep.ac.in,Cultural Committee
16,Ms. Deshmukh,10,9809010203,deshmukh@coep.ac.in,Cultural Committee
17,Ms. Rao,7,7555214907,rao@coep.ac.in,Music Society
18,Prof. Joshi,7,9908932362,joshi@coep.ac.in,Cultural Committee
19,Prof. Mehta,4,7931863806,mehta@coep.ac.in,Robotics Club
20,Mr. Iyer,9,7531629709,iyer@coep.ac.in,Music Society
21,Dr. Patil,1,8918912242,patil@coep.ac.in,QF Club
22,Ms. Deshmukh,3,8217303625,deshmukh@coep.ac.in,Music Society
23,Dr. Patil,4,7330112972,patil@coep.ac.in,Robotics Club
24,Ms. Raina,2,8629944285,raina@coep.ac.in,Cultural Committee
25,Mr. Kulkarni,8,9568408455,kulkarni@coep.ac.in,Music Society
26,Mr. Shah,7,9150641714,shah@coep.ac.in,E-Cell
27,Mr. Shah,6,7884806042,shah@coep.ac.in,E-Cell
28,Prof. Gupta,4,8016872231,gupta@coep.ac.in,QF Club
29,Mr. Shah,5,9368128801,shah@coep.ac.in,Robotics Club
30,Prof. Gupta,2,7288986320,gupta@coep.ac.in,Cultural Committee
31,Prof. Mehta,4,9722696419,mehta@coep.ac.in,Cultural Committee
32,Ms. Raina,4,7082789683,raina@coep.ac.in,QF Club
33,Mr. Iyer,10,7540041465,iyer@coep.ac.in,QF Club
34,Mr. Iyer,3,7834226327,iyer@coep.ac.in,Music Society
35,Mr. Shah,7,9060844668,shah@coep.ac.in,Cultural Committee
36,Prof. Joshi,8,9028089314,joshi@coep.ac.in,QF Club
37,Ms. Raina,7,8808425123,raina@coep.ac.in,Music Society
38,Prof. Joshi,8,7391835763,joshi@coep.ac.in,QF Club
39,Ms. Deshmukh,9,8151453857,deshmukh@coep.ac.in,Music Society
40,Mr. Kulkarni,6,7392883833,kulkarni@coep.ac.in,Music Society
41,Dr. Patil,3,8514954760,patil@coep.ac.in,Robotics Club
42,Mr. Iyer,6,8844092493,iyer@coep.ac.in,Robotics Club
43,Prof. Joshi,10,7014354324,joshi@coep.ac.in,QF Club
44,Mr. Shah,8,7605445844,shah@coep.ac.in,Music Society
45,Ms. Deshmukh,2,7740620551,deshmukh@coep.ac.in,Music Society
46,Ms. Raina,7,9883943190,raina@coep.ac.in,Robotics Club
47,Mr. Kulkarni,10,7826595588,kulkarni@coep.ac.in,E-Cell
48,Mr. Iyer,6,7910301173,iyer@coep.ac.in,QF Club
49,Mr. Shah,4,9052268268,shah@coep.ac.in,Cultural Committee
50,Mr. Iyer,3,9703573621,iyer@coep.ac.in,Music Society
