<<<<<<< HEAD
userId, name, phone no., noOfEventsAttended, email
1,bafsfaf afdfdsaf ,4324234242,0,fsadfadfaf@gmail.com
2,fsdfafaf sdfafsdfafs,4353354543,0,fdsfas@gmail.com
3,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
4,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
5,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
6,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
7,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
8,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
9,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
10,fsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
11,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
12,bafsfaf afdfdsaf,4324234242,0,fsadfadfaf@gmail.com
13,bhavdsgasf gadfasd,4324243211,0,bhavasfgsfadf@gmail.com
14,bhaveshg dfafdsfadsf,4342434342,0,bhavvesgasfdgagfsd@gmail.cp
15,fdsaffdsfafsa fdasfsdfaf,4243242432,0,dsfhafskadj@gamil.cpm
16,longdsfa,1232443242,0,lohofsafdn@gmail.com
17,logfasoj,2903832329,0,loiijafgnndfsafds@gmail.com
=======
1,bafsfaf afdfdsaf ,4324234242,0,fsadfadfaf@gmail.com
2,fsdfafaf sdfafsdfafs,4353354543,0,fdsfas@gmail.com
>>>>>>> fe469d4 (Done the unique id generation.)
